Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2024-07-10 11:09:43.961,-0.646944,-0.5230793,-0.3349083,-0.4382301,-0.228882,0.269043,-0.046265
2024-07-10 11:09:43.971,-0.647289,-0.5229061,-0.3350816,-0.437885,-0.269531,0.279297,0.034149
2024-07-10 11:09:43.981,-0.6476349,-0.5226474,-0.3351679,-0.4375392,-0.279541,0.318115,0.056824
2024-07-10 11:09:43.991,-0.6480662,-0.5225611,-0.3350816,-0.4371079,-0.246704,0.339355,0.089294
2024-07-10 11:09:44.001,-0.6486701,-0.5224755,-0.334477,-0.4366766,-0.200806,0.360596,0.074036
2024-07-10 11:09:44.011,-0.6495335,-0.5224755,-0.3337869,-0.4359858,-0.103333,0.291504,-0.001506
2024-07-10 11:09:44.021,-0.6506556,-0.5226473,-0.332751,-0.4350362,-0.02504,0.151855,-0.073669
2024-07-10 11:09:44.031,-0.6519504,-0.5229068,-0.3311112,-0.433914,-0.060944,0.09436,-0.007137
2024-07-10 11:09:44.041,-0.6535038,-0.5232519,-0.3292119,-0.432533,-0.222534,0.010735,0.125732
2024-07-10 11:09:44.051,-0.6551436,-0.5237702,-0.3271408,-0.4310657,-0.37915,-0.091187,0.285156
2024-07-10 11:09:44.061,-0.6568704,-0.5243741,-0.3248101,-0.4295115,-0.530762,-0.200806,0.448975
2024-07-10 11:09:44.071,-0.6585971,-0.5248054,-0.3224795,-0.4281312,-0.643066,-0.244263,0.583496
2024-07-10 11:09:44.081,-0.6601506,-0.5253237,-0.3202345,-0.4267502,-0.722656,-0.2854,0.719727
2024-07-10 11:09:44.091,-0.6616179,-0.5257558,-0.3180771,-0.4254556,-0.766602,-0.29834,0.818359
2024-07-10 11:09:44.101,-0.6628264,-0.5261871,-0.3160915,-0.4245922,-0.779785,-0.286133,0.883789
2024-07-10 11:09:44.111,-0.6636897,-0.5265322,-0.3145387,-0.4239013,-0.76709,-0.229492,0.886719
2024-07-10 11:09:44.121,-0.6643798,-0.526791,-0.3132433,-0.4235562,-0.762207,-0.17688,0.854004
2024-07-10 11:09:44.131,-0.6646386,-0.5268773,-0.3122944,-0.4236425,-0.606445,-0.1604,0.770996
2024-07-10 11:09:44.141,-0.6647249,-0.5270505,-0.3116035,-0.4239013,-0.540039,-0.165283,0.590332
2024-07-10 11:09:44.151,-0.6644668,-0.5270498,-0.3112578,-0.4245059,-0.467041,-0.203857,0.437744
2024-07-10 11:09:44.161,-0.6641211,-0.527136,-0.310999,-0.4251967,-0.333496,-0.257324,0.290283
2024-07-10 11:09:44.171,-0.6636035,-0.5270498,-0.3109127,-0.426232,-0.285645,-0.315918,0.196899
2024-07-10 11:09:44.181,-0.6629989,-0.5269635,-0.3109989,-0.4271816,-0.325684,-0.430664,0.066345
2024-07-10 11:09:44.191,-0.6622217,-0.526791,-0.311344,-0.4281312,-0.262207,-0.532227,0.084595
2024-07-10 11:09:44.201,-0.6614453,-0.5267047,-0.3119493,-0.4292527,-0.222412,-0.624512,0.042877
2024-07-10 11:09:44.211,-0.660582,-0.5265322,-0.3124669,-0.4302886,-0.196899,-0.697266,-0.008202
2024-07-10 11:09:44.221,-0.6595461,-0.5264459,-0.3134159,-0.4313245,0.002266,-0.731445,0.00518
2024-07-10 11:09:44.231,-0.6584239,-0.5264452,-0.3144518,-0.4322741,-0.008102,-0.588379,0.040894
2024-07-10 11:09:44.241,-0.657388,-0.5264459,-0.3154877,-0.4331375,-0.156738,-0.486572,0.091125
2024-07-10 11:09:44.251,-0.6560933,-0.526359,-0.3167824,-0.4340872,-0.207642,-0.507812,0.099548
2024-07-10 11:09:44.261,-0.6548855,-0.5263597,-0.3181634,-0.4351224,-0.212402,-0.581055,0.067932
2024-07-10 11:09:44.271,-0.6535908,-0.5262734,-0.3196313,-0.4358995,-0.249268,-0.63916,0.003117
2024-07-10 11:09:44.281,-0.6523824,-0.5262734,-0.3211841,-0.4367629,-0.375,-0.685547,-0.034027
2024-07-10 11:09:44.291,-0.6511732,-0.5261871,-0.3228246,-0.437453,-0.463623,-0.702637,-0.091675
2024-07-10 11:09:44.301,-0.6497922,-0.5261864,-0.3245507,-0.4381438,-0.583008,-0.652344,-0.187744
2024-07-10 11:09:44.311,-0.6485838,-0.5261002,-0.3263637,-0.4388347,-0.654785,-0.586426,-0.251953
